V,E,T(n) fibo
850.0, 360825.0, 16.672968
1050.0, 550725.0, 71.976083
1050.0, 550725.0, 15.903594
1050.0, 550725.0, 32.852278
1050.0, 550725.0, 224.586397
1050.0, 550725.0, 17.783732
1050.0, 550725.0, 27.99138
1050.0, 550725.0, 2.881564
1050.0, 550725.0, 6.07318
1050.0, 550725.0, 9.52848
1050.0, 550725.0, 43.756741
1050.0, 550725.0, 37.644389
1050.0, 550725.0, 23.841013
1050.0, 550725.0, 43.937123
1050.0, 550725.0, 31.882087
1050.0, 550725.0, 10.550205
1050.0, 550725.0, 10.161309
1050.0, 550725.0, 43.44318
1050.0, 550725.0, 25.964186
1050.0, 550725.0, 17.61474
1050.0, 550725.0, 40.194788
1050.0, 550725.0, 23.256366
1050.0, 550725.0, 46.000893
1050.0, 550725.0, 25.192547
1050.0, 550725.0, 24.565417
1050.0, 550725.0, 38.31814
1050.0, 550725.0, 20.595918
1050.0, 550725.0, 12.115664
1050.0, 550725.0, 42.724416
1050.0, 550725.0, 43.896023
1050.0, 550725.0, 189.759191
1050.0, 550725.0, 38.23192
1050.0, 550725.0, 39.446959
1050.0, 550725.0, 17.472181
1050.0, 550725.0, 16.349098
1050.0, 550725.0, 17.555623
1050.0, 550725.0, 16.37592
1050.0, 550725.0, 40.261855
1050.0, 550725.0, 31.239926
1050.0, 550725.0, 28.814893
1050.0, 550725.0, 43.010153
1250.0, 780625.0, 34.087663
1250.0, 780625.0, 367.439121
1250.0, 780625.0, 43.596786
1250.0, 780625.0, 30.067355
1250.0, 780625.0, 3.352668
1250.0, 780625.0, 24.68829
1250.0, 780625.0, 67.089912
1250.0, 780625.0, 56.396558
1250.0, 780625.0, 8.648464
1250.0, 780625.0, 20.413777
1250.0, 780625.0, 15.074297
1250.0, 780625.0, 66.003839
1250.0, 780625.0, 47.447355
1250.0, 780625.0, 66.902035
1250.0, 780625.0, 37.770757
1250.0, 780625.0, 43.963551
1250.0, 780625.0, 67.191
1250.0, 780625.0, 22.452516
1250.0, 780625.0, 168.402764
1250.0, 780625.0, 33.859979
1250.0, 780625.0, 33.149308
1250.0, 780625.0, 2.076055
1250.0, 780625.0, 45.064574
1250.0, 780625.0, 32.788505
1250.0, 780625.0, 44.722507
