|V|*[1000],|E|*[1000],T(n) std,T(n) fibo,T(n) binary,Theo. T(n),stdErwartungswert,stdStandardabweichung,stdErw.-StdAbw.,stdErw.+StdAbw.,std Q_.25,std Q_.5,std Q_.75,std a,std b,std |[Q_.25 Q_.75]|,std |[a b]|,fiboErwartungswert,fiboStandardabweichung,fiboErw.-StdAbw.,fiboErw.+StdAbw.,fibo Q_.25,fibo Q_.5,fibo Q_.75,fibo a,fibo b,fibo |[Q_.25 Q_.75]|,fibo |[a b]|,binaryErwartungswert,binaryStandardabweichung,binaryErw.-StdAbw.,binaryErw.+StdAbw.,binary Q_.25,binary Q_.5,binary Q_.75,binary a,binary b,binary |[Q_.25 Q_.75]|,binary |[a b]|
0.012, 0.066, 0.037119, 0.163292, 0.34209, , , 
0.012, 0.066, 0.147675, 0.170931, 0.355821, , , 
0.012, 0.066, 0.668816, 0.494147, 0.407749, , , 
0.012, 0.066, 0.042609, 0.450001, 0.074082, , , 
0.012, 0.066, 0.112998, 0.401894, 0.304209, , , 
0.012, 0.066, 1.801272, 0.131087, 2.177474, , , 
0.012, 0.066, 0.110454, 0.464749, 0.393914, , , 
0.012, 0.066, 0.048363, 0.144325, 0.291965, , , 
0.012, 0.066, 0.080543, 0.098496, 0.223212, , , 
0.012, 0.066, 0.035421, 0.436402, 0.364312, 0.004085729892859104, 0.225775, 0.27675133782707356, -0.05097633782707359, 0.5025263378270736, 0.740428, 1.4882394427531898, -0.7478114427531897, 2.22866744275319, 0.720797, 1.2735297762525617, -0.5527327762525617, 1.9943267762525616, 0.1989915, 0.175785, 0.039042, 0.461819, -0.20088225, 0.0, 0.0, 0.4516675, 0.680975, 0.14552, 9.330251, -0.31370125, 0.0, 0.0, 0.7234715, 0.433549, 0.216862, 8.333446, -0.54305225, 0.0, 0.0
0.022, 0.231, 0.427867, 0.966656, 0.988785, , , 
0.022, 0.231, 0.337877, 1.213157, 0.811301, , , 
0.022, 0.231, 0.477842, 2.129378, 0.72125, , , 
0.022, 0.231, 0.126968, 0.952317, 0.662481, , , 
0.022, 0.231, 0.653177, 0.304936, 0.509188, , , 
0.022, 0.231, 0.305553, 0.575801, 0.474237, , , 
0.022, 0.231, 0.329374, 0.789508, 0.96866, , , 
0.022, 0.231, 0.446945, 0.770974, 0.648138, , , 
0.022, 0.231, 0.103126, 1.141635, 0.822725, , , 
0.022, 0.231, 0.230609, 0.792949, 0.570948, , , 
0.022, 0.231, 0.2342, 0.491953, 0.623257, , , 
0.022, 0.231, 0.444986, 0.657001, 0.189659, , , 
0.022, 0.231, 0.244871, 0.700635, 0.954212, , , 
0.022, 0.231, 0.444193, 0.667847, 0.467586, , , 
0.022, 0.231, 0.242065, 0.608555, 0.599584, , , 
0.022, 0.231, 0.445461, 1.081058, 0.473198, , , 
0.022, 0.231, 0.114736, 0.952756, 0.57888, , , 
0.022, 0.231, 0.316182, 0.444214, 0.775476, , , 
0.022, 0.231, 0.286198, 0.557866, 0.574023, , , 
0.022, 0.231, 0.363636, 0.398487, 0.631612, , , 
0.022, 0.231, 0.441262, 7.185739, 3.207343, , , 
0.022, 0.231, 0.09636, 0.40369, 0.669501, , , 
