V,E,T(n) std
850.0, 360825.0, 25.027493
1050.0, 550725.0, 45.228823
1050.0, 550725.0, 44.545107
1050.0, 550725.0, 44.043559
1050.0, 550725.0, 52.082743
1050.0, 550725.0, 50.869826
1050.0, 550725.0, 38.876722
1050.0, 550725.0, 25.80273
1050.0, 550725.0, 13.27988
1050.0, 550725.0, 16.430966
1050.0, 550725.0, 43.72672
1050.0, 550725.0, 45.717946
1050.0, 550725.0, 36.615144
1050.0, 550725.0, 7.36154
1050.0, 550725.0, 35.383031
1050.0, 550725.0, 6.200867
1050.0, 550725.0, 35.246761
1050.0, 550725.0, 24.276151
1050.0, 550725.0, 20.934917
1050.0, 550725.0, 13.799187
1050.0, 550725.0, 21.840692
1050.0, 550725.0, 11.393574
1050.0, 550725.0, 52.044247
1050.0, 550725.0, 11.878199
1050.0, 550725.0, 21.602386
1050.0, 550725.0, 74.796118
1050.0, 550725.0, 22.528436
1050.0, 550725.0, 21.90328
1050.0, 550725.0, 14.58527
1050.0, 550725.0, 9.352761
1050.0, 550725.0, 30.858702
1050.0, 550725.0, 11.997741
1050.0, 550725.0, 18.703277
1050.0, 550725.0, 13.290356
1050.0, 550725.0, 18.529411
1050.0, 550725.0, 28.829048
1050.0, 550725.0, 14.606192
1050.0, 550725.0, 30.827507
1050.0, 550725.0, 43.658788
1050.0, 550725.0, 6.583038
1050.0, 550725.0, 19.904209
1250.0, 780625.0, 1589.564522
1250.0, 780625.0, 66.421058
1250.0, 780625.0, 69.793156
1250.0, 780625.0, 3.833197
1250.0, 780625.0, 36.485659
1250.0, 780625.0, 34.6157
1250.0, 780625.0, 17.152568
1250.0, 780625.0, 60.152832
1250.0, 780625.0, 5.068364
1250.0, 780625.0, 62.188552
1250.0, 780625.0, 25.650481
1250.0, 780625.0, 55.571365
1250.0, 780625.0, 17.575237
1250.0, 780625.0, 67.817248
1250.0, 780625.0, 66.044217
1250.0, 780625.0, 51.420714
1250.0, 780625.0, 73.006602
1250.0, 780625.0, 68.162144
1250.0, 780625.0, 64.406819
1250.0, 780625.0, 68.729626
1250.0, 780625.0, 65.794075
1250.0, 780625.0, 50.448258
1250.0, 780625.0, 51.752896
1250.0, 780625.0, 68.137455
1250.0, 780625.0, 67.922987
1250.0, 780625.0, 67.072853
1250.0, 780625.0, 30.129907
1250.0, 780625.0, 64.575491
1250.0, 780625.0, 55.504365
1250.0, 780625.0, 40.386999
1250.0, 780625.0, 35.734017
1250.0, 780625.0, 48.404085
1250.0, 780625.0, 13.240649
1250.0, 780625.0, 95.291253
1250.0, 780625.0, 89.009142
1250.0, 780625.0, 45.360596
1250.0, 780625.0, 101.093636
1250.0, 780625.0, 22.002635
1250.0, 780625.0, 59.761378
1250.0, 780625.0, 65.90119
1450.0, 1050525.0, 49.661385
1450.0, 1050525.0, 56.320102
1450.0, 1050525.0, 17.186538
1450.0, 1050525.0, 37.020605
1450.0, 1050525.0, 76.578377
1450.0, 1050525.0, 67.195117
1450.0, 1050525.0, 108.086879
1450.0, 1050525.0, 239.983589
1450.0, 1050525.0, 21.013623
1450.0, 1050525.0, 43.362326
1450.0, 1050525.0, 70.813198
1450.0, 1050525.0, 43.454172
1450.0, 1050525.0, 9.519
1450.0, 1050525.0, 12.88784
1450.0, 1050525.0, 32.627742
1450.0, 1050525.0, 32.910831
1450.0, 1050525.0, 20.82302
1450.0, 1050525.0, 45.742665
1450.0, 1050525.0, 88.150473
1450.0, 1050525.0, 106.633965
1450.0, 1050525.0, 27.025998
1450.0, 1050525.0, 52.484708
1450.0, 1050525.0, 73.56613
1450.0, 1050525.0, 62.447274
1450.0, 1050525.0, 33.864319
1450.0, 1050525.0, 76.45643
1450.0, 1050525.0, 26.274379
1450.0, 1050525.0, 187.721142
1450.0, 1050525.0, 19.219875
1450.0, 1050525.0, 39.100236
1450.0, 1050525.0, 40.38643
1450.0, 1050525.0, 52.972233
1450.0, 1050525.0, 67.058117
1450.0, 1050525.0, 44.198251
1450.0, 1050525.0, 83.145858
1450.0, 1050525.0, 32.523462
1450.0, 1050525.0, 89.199852
1450.0, 1050525.0, 79.098172
1450.0, 1050525.0, 20.88116
1450.0, 1050525.0, 44.710277
1650.0, 1360425.0, 129.879049
1650.0, 1360425.0, 88.811688
1650.0, 1360425.0, 80.594351
1650.0, 1360425.0, 125.323698
1650.0, 1360425.0, 311.172766
1650.0, 1360425.0, 41.277345
1650.0, 1360425.0, 91.687763
1650.0, 1360425.0, 146.059779
1650.0, 1360425.0, 113.645309
1650.0, 1360425.0, 145.586727
1650.0, 1360425.0, 42.039084
1650.0, 1360425.0, 147.378986
1650.0, 1360425.0, 144.503524
1650.0, 1360425.0, 240.732058
1650.0, 1360425.0, 62.320495
1650.0, 1360425.0, 59.163186
1650.0, 1360425.0, 142.828486
1650.0, 1360425.0, 13.582398
1650.0, 1360425.0, 115.118006
1650.0, 1360425.0, 59.203538
1650.0, 1360425.0, 85.422045
1650.0, 1360425.0, 105.495333
1650.0, 1360425.0, 114.947821
1650.0, 1360425.0, 173.614715
1650.0, 1360425.0, 135.518412
1650.0, 1360425.0, 136.441358
1650.0, 1360425.0, 129.355344
1650.0, 1360425.0, 170.573937
1650.0, 1360425.0, 117.105981
1650.0, 1360425.0, 197.972536
1650.0, 1360425.0, 171.499112
1650.0, 1360425.0, 190.436184
1650.0, 1360425.0, 83.074802
1650.0, 1360425.0, 66.25518
1650.0, 1360425.0, 55.499471
1650.0, 1360425.0, 120.486158
1650.0, 1360425.0, 20.994804
1650.0, 1360425.0, 112.731557
1650.0, 1360425.0, 51.664894
1650.0, 1360425.0, 78.414496
1850.0, 1710325.0, 542.552227
1850.0, 1710325.0, 40.277834
1850.0, 1710325.0, 93.977565
1850.0, 1710325.0, 74.542337
1850.0, 1710325.0, 99.593114
1850.0, 1710325.0, 124.79108
1850.0, 1710325.0, 187.18016
1850.0, 1710325.0, 123.30702
1850.0, 1710325.0, 60.174833
1850.0, 1710325.0, 382.65448
1850.0, 1710325.0, 30.608988
1850.0, 1710325.0, 193.397801
1850.0, 1710325.0, 170.425833
1850.0, 1710325.0, 50.259776
1850.0, 1710325.0, 27.517217
1850.0, 1710325.0, 38.080629
1850.0, 1710325.0, 167.160984
1850.0, 1710325.0, 62.639143
1850.0, 1710325.0, 109.206548
1850.0, 1710325.0, 198.766198
1850.0, 1710325.0, 19.071265
1850.0, 1710325.0, 53.945633
1850.0, 1710325.0, 50.896249
1850.0, 1710325.0, 154.483489
1850.0, 1710325.0, 93.799411
1850.0, 1710325.0, 52.623144
1850.0, 1710325.0, 158.490816
1850.0, 1710325.0, 73.506381
1850.0, 1710325.0, 38.998827
1850.0, 1710325.0, 158.590623
1850.0, 1710325.0, 169.887109
1850.0, 1710325.0, 159.135651
1850.0, 1710325.0, 163.718349
1850.0, 1710325.0, 128.041429
1850.0, 1710325.0, 181.678664
1850.0, 1710325.0, 186.902912
1850.0, 1710325.0, 146.948794
1850.0, 1710325.0, 236.321429
1850.0, 1710325.0, 63.885231
1850.0, 1710325.0, 84.513817
2001.0, 2001000.0, 186.036867
2001.0, 2001000.0, 73.82783
2001.0, 2001000.0, 57.237463
2001.0, 2001000.0, 102.257283
2001.0, 2001000.0, 111.560455
2001.0, 2001000.0, 131.610706
2001.0, 2001000.0, 59.915909
2001.0, 2001000.0, 602.262695
2001.0, 2001000.0, 255.538022
2001.0, 2001000.0, 229.790321
2001.0, 2001000.0, 75.233544
2001.0, 2001000.0, 98.078123
2001.0, 2001000.0, 244.780062
2001.0, 2001000.0, 57.26051
2001.0, 2001000.0, 270.980486
2001.0, 2001000.0, 168.089474
2001.0, 2001000.0, 104.397808
2001.0, 2001000.0, 214.732725
2001.0, 2001000.0, 90.438693
2001.0, 2001000.0, 66.641818
2001.0, 2001000.0, 177.057574
2001.0, 2001000.0, 152.8236
2001.0, 2001000.0, 197.675715
2001.0, 2001000.0, 213.956796
2001.0, 2001000.0, 218.607093
2001.0, 2001000.0, 116.680164
2001.0, 2001000.0, 79.848762
2001.0, 2001000.0, 139.967191
2001.0, 2001000.0, 30.708952
2001.0, 2001000.0, 198.955973
2001.0, 2001000.0, 149.877896
2001.0, 2001000.0, 177.383747
2001.0, 2001000.0, 229.656117
2001.0, 2001000.0, 244.511675
2001.0, 2001000.0, 223.501549
2001.0, 2001000.0, 175.563638
2001.0, 2001000.0, 94.180803
2001.0, 2001000.0, 79.769546
2001.0, 2001000.0, 126.827511
2001.0, 2001000.0, 36.555784
