V,E,T(n) binary
125.0, 7750.0, 12.255242
125.0, 7750.0, 5.490358
125.0, 7750.0, 0.799549
125.0, 7750.0, 11.501434
125.0, 7750.0, 6.770965
125.0, 7750.0, 7.733749
125.0, 7750.0, 6.686736
125.0, 7750.0, 5.408715
125.0, 7750.0, 5.131278
125.0, 7750.0, 1.381551
125.0, 7750.0, 1.479106
125.0, 7750.0, 0.715722
125.0, 7750.0, 0.481344
125.0, 7750.0, 0.298776
125.0, 7750.0, 2.426428
125.0, 7750.0, 1.991766
125.0, 7750.0, 0.500686
125.0, 7750.0, 1.956902
125.0, 7750.0, 2.990409
125.0, 7750.0, 1.415694
125.0, 7750.0, 2.907119
125.0, 7750.0, 2.94105
125.0, 7750.0, 0.807777
125.0, 7750.0, 3.189989
125.0, 7750.0, 2.426294
125.0, 7750.0, 3.200879
125.0, 7750.0, 0.194376
125.0, 7750.0, 2.526134
125.0, 7750.0, 2.348288
125.0, 7750.0, 0.635025
125.0, 7750.0, 1.80341
125.0, 7750.0, 2.012092
125.0, 7750.0, 2.71717
125.0, 7750.0, 0.176167
125.0, 7750.0, 0.671708
125.0, 7750.0, 2.941882
125.0, 7750.0, 0.204552
125.0, 7750.0, 1.242468
125.0, 7750.0, 1.041066
125.0, 7750.0, 2.611607
250.0, 31125.0, 5.424514
250.0, 31125.0, 0.471108
250.0, 31125.0, 2.317434
250.0, 31125.0, 5.695189
250.0, 31125.0, 8.873723
250.0, 31125.0, 5.712162
250.0, 31125.0, 3.183561
250.0, 31125.0, 3.217026
250.0, 31125.0, 0.836595
250.0, 31125.0, 6.156139
250.0, 31125.0, 0.815788
250.0, 31125.0, 4.156254
250.0, 31125.0, 2.214432
250.0, 31125.0, 7.826112
250.0, 31125.0, 7.605404
250.0, 31125.0, 4.451456
250.0, 31125.0, 6.315601
250.0, 31125.0, 2.51859
250.0, 31125.0, 3.29878
250.0, 31125.0, 4.812847
250.0, 31125.0, 1.207394
250.0, 31125.0, 7.069203
250.0, 31125.0, 3.308791
250.0, 31125.0, 2.243394
