V,E,T(n) std
125.0, 7750.0, 12.673159
125.0, 7750.0, 7.799639
125.0, 7750.0, 7.248966
125.0, 7750.0, 6.532051
125.0, 7750.0, 7.362862
125.0, 7750.0, 3.11239
125.0, 7750.0, 1.690611
125.0, 7750.0, 1.45126
125.0, 7750.0, 1.586263
125.0, 7750.0, 1.255955
125.0, 7750.0, 1.289418
125.0, 7750.0, 1.35496
125.0, 7750.0, 0.24637
125.0, 7750.0, 0.370766
125.0, 7750.0, 1.566452
125.0, 7750.0, 1.298154
125.0, 7750.0, 0.692347
125.0, 7750.0, 0.619555
125.0, 7750.0, 1.391352
125.0, 7750.0, 1.590916
125.0, 7750.0, 0.251645
125.0, 7750.0, 1.025579
125.0, 7750.0, 1.577572
125.0, 7750.0, 1.010627
125.0, 7750.0, 0.953502
125.0, 7750.0, 1.398073
125.0, 7750.0, 1.306592
125.0, 7750.0, 1.291123
125.0, 7750.0, 1.572438
125.0, 7750.0, 1.238271
125.0, 7750.0, 0.994072
125.0, 7750.0, 0.97358
125.0, 7750.0, 1.395964
125.0, 7750.0, 0.972762
125.0, 7750.0, 1.517522
125.0, 7750.0, 1.477117
125.0, 7750.0, 1.399665
125.0, 7750.0, 1.28642
125.0, 7750.0, 1.270939
125.0, 7750.0, 1.786135
250.0, 31125.0, 2.334914
250.0, 31125.0, 6.731143
250.0, 31125.0, 1.182877
250.0, 31125.0, 5.47991
250.0, 31125.0, 3.941744
250.0, 31125.0, 2.80529
250.0, 31125.0, 3.319989
250.0, 31125.0, 7.344385
250.0, 31125.0, 7.686582
250.0, 31125.0, 2.975889
250.0, 31125.0, 6.863529
250.0, 31125.0, 3.895414
250.0, 31125.0, 4.827301
250.0, 31125.0, 2.224571
250.0, 31125.0, 7.104281
250.0, 31125.0, 5.018663
250.0, 31125.0, 0.497787
250.0, 31125.0, 5.285419
250.0, 31125.0, 3.377909
250.0, 31125.0, 7.498552
250.0, 31125.0, 5.430065
250.0, 31125.0, 3.436506
250.0, 31125.0, 5.150781
250.0, 31125.0, 6.985009
250.0, 31125.0, 7.310414
250.0, 31125.0, 1.564371
250.0, 31125.0, 11.226103
250.0, 31125.0, 3.599574
250.0, 31125.0, 1.017754
250.0, 31125.0, 2.340344
250.0, 31125.0, 0.188482
250.0, 31125.0, 0.442331
250.0, 31125.0, 2.560803
250.0, 31125.0, 2.041259
250.0, 31125.0, 3.450115
250.0, 31125.0, 2.913812
250.0, 31125.0, 3.257251
250.0, 31125.0, 1.71949
250.0, 31125.0, 3.397016
250.0, 31125.0, 0.494888
375.0, 70125.0, 13.584426
375.0, 70125.0, 12.269759
375.0, 70125.0, 2.167327
375.0, 70125.0, 13.411702
375.0, 70125.0, 6.196133
375.0, 70125.0, 7.838739
375.0, 70125.0, 4.220408
375.0, 70125.0, 14.156778
375.0, 70125.0, 1.38365
375.0, 70125.0, 13.410055
375.0, 70125.0, 13.41231
375.0, 70125.0, 7.659588
375.0, 70125.0, 8.491714
375.0, 70125.0, 13.551334
375.0, 70125.0, 6.275433
375.0, 70125.0, 269.937229
375.0, 70125.0, 4.477949
375.0, 70125.0, 8.424145
375.0, 70125.0, 5.306182
375.0, 70125.0, 7.279921
375.0, 70125.0, 4.548733
375.0, 70125.0, 5.260561
375.0, 70125.0, 5.312329
375.0, 70125.0, 8.514475
375.0, 70125.0, 6.549329
375.0, 70125.0, 3.245137
375.0, 70125.0, 3.082454
375.0, 70125.0, 7.768886
375.0, 70125.0, 8.709667
375.0, 70125.0, 8.379578
375.0, 70125.0, 3.140212
375.0, 70125.0, 2.958492
375.0, 70125.0, 3.111636
375.0, 70125.0, 12.967049
375.0, 70125.0, 4.255963
375.0, 70125.0, 4.187471
375.0, 70125.0, 6.205521
375.0, 70125.0, 4.633069
375.0, 70125.0, 2.064133
375.0, 70125.0, 4.148388
500.0, 124750.0, 16.548255
500.0, 124750.0, 20.11568
500.0, 124750.0, 15.524299
500.0, 124750.0, 4.767942
500.0, 124750.0, 1.723301
500.0, 124750.0, 15.221874
500.0, 124750.0, 15.027249
500.0, 124750.0, 19.99649
500.0, 124750.0, 19.479583
500.0, 124750.0, 10.073576
500.0, 124750.0, 29.081353
500.0, 124750.0, 4.230989
500.0, 124750.0, 19.591822
500.0, 124750.0, 25.503333
500.0, 124750.0, 15.196961
500.0, 124750.0, 4.178658
500.0, 124750.0, 26.491702
500.0, 124750.0, 1.130573
500.0, 124750.0, 26.457831
500.0, 124750.0, 237.042464
500.0, 124750.0, 2.984393
500.0, 124750.0, 9.997203
500.0, 124750.0, 3.206942
500.0, 124750.0, 7.580205
500.0, 124750.0, 3.609283
500.0, 124750.0, 7.516363
500.0, 124750.0, 11.986506
500.0, 124750.0, 12.00418
500.0, 124750.0, 2.949568
500.0, 124750.0, 8.671406
500.0, 124750.0, 13.072054
500.0, 124750.0, 2.417759
500.0, 124750.0, 6.837463
500.0, 124750.0, 11.454712
500.0, 124750.0, 12.865538
500.0, 124750.0, 8.133324
500.0, 124750.0, 3.133895
500.0, 124750.0, 6.002206
500.0, 124750.0, 11.370439
500.0, 124750.0, 4.630226
625.0, 195000.0, 43.052957
625.0, 195000.0, 29.141485
625.0, 195000.0, 17.792581
625.0, 195000.0, 546.316933
625.0, 195000.0, 19.670498
625.0, 195000.0, 45.752788
625.0, 195000.0, 40.392863
625.0, 195000.0, 41.985772
625.0, 195000.0, 39.649427
625.0, 195000.0, 32.978613
625.0, 195000.0, 9.009619
625.0, 195000.0, 29.456268
625.0, 195000.0, 18.925601
625.0, 195000.0, 33.257935
625.0, 195000.0, 27.93384
625.0, 195000.0, 21.50589
625.0, 195000.0, 27.29423
625.0, 195000.0, 15.878164
625.0, 195000.0, 21.012817
625.0, 195000.0, 19.589805
625.0, 195000.0, 4.530354
625.0, 195000.0, 24.717721
625.0, 195000.0, 30.176347
625.0, 195000.0, 28.996094
625.0, 195000.0, 29.672503
625.0, 195000.0, 21.097659
625.0, 195000.0, 14.438378
625.0, 195000.0, 16.28974
625.0, 195000.0, 21.506238
625.0, 195000.0, 20.416357
625.0, 195000.0, 30.380979
625.0, 195000.0, 26.46135
625.0, 195000.0, 28.779903
625.0, 195000.0, 13.743747
625.0, 195000.0, 19.849028
625.0, 195000.0, 4.963155
625.0, 195000.0, 19.681609
625.0, 195000.0, 26.816695
625.0, 195000.0, 28.97744
625.0, 195000.0, 24.249681
750.0, 280875.0, 6.837918
750.0, 280875.0, 20.761047
750.0, 280875.0, 6.028736
750.0, 280875.0, 22.034754
750.0, 280875.0, 28.551836
750.0, 280875.0, 36.663465
750.0, 280875.0, 28.095772
750.0, 280875.0, 15.706251
750.0, 280875.0, 33.42856
750.0, 280875.0, 17.83897
750.0, 280875.0, 13.027595
750.0, 280875.0, 33.497932
750.0, 280875.0, 15.383874
750.0, 280875.0, 3.339519
750.0, 280875.0, 19.597045
750.0, 280875.0, 38.922985
750.0, 280875.0, 44.707768
750.0, 280875.0, 14.790623
750.0, 280875.0, 24.688888
750.0, 280875.0, 9.332461
750.0, 280875.0, 7.006154
750.0, 280875.0, 14.595153
750.0, 280875.0, 279.916854
750.0, 280875.0, 4.319317
750.0, 280875.0, 16.883964
750.0, 280875.0, 24.424631
750.0, 280875.0, 4.832327
750.0, 280875.0, 17.819884
750.0, 280875.0, 16.40859
750.0, 280875.0, 17.578014
750.0, 280875.0, 2.361928
750.0, 280875.0, 37.963974
750.0, 280875.0, 22.956289
750.0, 280875.0, 19.469049
750.0, 280875.0, 9.03087
750.0, 280875.0, 14.365342
750.0, 280875.0, 31.950086
750.0, 280875.0, 6.775771
750.0, 280875.0, 14.453782
750.0, 280875.0, 26.680963
875.0, 382375.0, 40.297598
875.0, 382375.0, 42.8534
875.0, 382375.0, 52.577029
875.0, 382375.0, 69.905712
875.0, 382375.0, 66.522334
875.0, 382375.0, 55.693571
875.0, 382375.0, 38.44197
875.0, 382375.0, 71.083463
875.0, 382375.0, 51.291815
875.0, 382375.0, 49.51506
875.0, 382375.0, 28.257332
875.0, 382375.0, 55.696339
875.0, 382375.0, 61.980867
875.0, 382375.0, 57.337836
875.0, 382375.0, 33.411837
875.0, 382375.0, 35.230243
875.0, 382375.0, 271.045761
875.0, 382375.0, 25.002506
