V,E,T(n) fibo
625.0, 195000.0, 3.719307
750.0, 280875.0, 6.594016
750.0, 280875.0, 24.503626
750.0, 280875.0, 30.497777
750.0, 280875.0, 20.580787
750.0, 280875.0, 23.660059
750.0, 280875.0, 24.371318
750.0, 280875.0, 0.733228
750.0, 280875.0, 7.630582
750.0, 280875.0, 3.892487
750.0, 280875.0, 33.400628
750.0, 280875.0, 2.596931
750.0, 280875.0, 2.208457
750.0, 280875.0, 35.21178
750.0, 280875.0, 29.232261
750.0, 280875.0, 1.158904
750.0, 280875.0, 18.204671
750.0, 280875.0, 6.547185
750.0, 280875.0, 11.895002
750.0, 280875.0, 34.970529
750.0, 280875.0, 29.786176
750.0, 280875.0, 10.572891
750.0, 280875.0, 1.169234
750.0, 280875.0, 319.999028
750.0, 280875.0, 16.520667
750.0, 280875.0, 4.127755
750.0, 280875.0, 19.387188
750.0, 280875.0, 18.307924
750.0, 280875.0, 2.21199
750.0, 280875.0, 17.682261
750.0, 280875.0, 19.9932
750.0, 280875.0, 23.740138
750.0, 280875.0, 10.259836
750.0, 280875.0, 24.882938
750.0, 280875.0, 31.399266
750.0, 280875.0, 31.421719
750.0, 280875.0, 7.562428
750.0, 280875.0, 18.685865
750.0, 280875.0, 18.462288
750.0, 280875.0, 15.966823
750.0, 280875.0, 16.565983
875.0, 382375.0, 12.33419
875.0, 382375.0, 41.464926
875.0, 382375.0, 29.579323
875.0, 382375.0, 42.084132
875.0, 382375.0, 42.530947
875.0, 382375.0, 12.595056
875.0, 382375.0, 25.371583
875.0, 382375.0, 35.46824
875.0, 382375.0, 39.352139
875.0, 382375.0, 28.47974
875.0, 382375.0, 37.350322
875.0, 382375.0, 30.518635
875.0, 382375.0, 9.784268
875.0, 382375.0, 43.092915
875.0, 382375.0, 40.817868
875.0, 382375.0, 26.97703
875.0, 382375.0, 256.37609
875.0, 382375.0, 54.44059
875.0, 382375.0, 15.518133
875.0, 382375.0, 7.100495
875.0, 382375.0, 30.88366
875.0, 382375.0, 53.305551
875.0, 382375.0, 4.70613
875.0, 382375.0, 8.389617
875.0, 382375.0, 6.886942
875.0, 382375.0, 6.222402
875.0, 382375.0, 38.805626
875.0, 382375.0, 22.006406
875.0, 382375.0, 10.464405
875.0, 382375.0, 9.943886
875.0, 382375.0, 34.183605
875.0, 382375.0, 53.812658
875.0, 382375.0, 12.85256
875.0, 382375.0, 33.704511
875.0, 382375.0, 50.980316
875.0, 382375.0, 11.411963
875.0, 382375.0, 23.376419
875.0, 382375.0, 33.471317
