V,E,T(n) binary
500.0, 124750.0, 17.613889
600.0, 179700.0, 19.398854
600.0, 179700.0, 14.441752
600.0, 179700.0, 20.028936
600.0, 179700.0, 5.192726
600.0, 179700.0, 10.210294
600.0, 179700.0, 289.630855
600.0, 179700.0, 2.471794
600.0, 179700.0, 12.713402
600.0, 179700.0, 14.75095
600.0, 179700.0, 5.566732
600.0, 179700.0, 12.158343
600.0, 179700.0, 3.64795
600.0, 179700.0, 13.210373
600.0, 179700.0, 2.408482
600.0, 179700.0, 11.766531
600.0, 179700.0, 11.157085
600.0, 179700.0, 14.422181
600.0, 179700.0, 7.608665
600.0, 179700.0, 10.970587
600.0, 179700.0, 12.986584
600.0, 179700.0, 10.973629
600.0, 179700.0, 1.79454
600.0, 179700.0, 10.815382
600.0, 179700.0, 14.11939
600.0, 179700.0, 2.994463
600.0, 179700.0, 12.479316
600.0, 179700.0, 7.021966
600.0, 179700.0, 14.344484
600.0, 179700.0, 10.851163
600.0, 179700.0, 1.815915
600.0, 179700.0, 2.731563
600.0, 179700.0, 2.683401
600.0, 179700.0, 12.930605
600.0, 179700.0, 1.405409
600.0, 179700.0, 9.575775
600.0, 179700.0, 8.202209
600.0, 179700.0, 13.724509
600.0, 179700.0, 1.422798
600.0, 179700.0, 17.107162
600.0, 179700.0, 13.447147
700.0, 244650.0, 23.326259
700.0, 244650.0, 22.449422
700.0, 244650.0, 17.853607
700.0, 244650.0, 8.517055
700.0, 244650.0, 31.63218
700.0, 244650.0, 5.815471
700.0, 244650.0, 22.846296
700.0, 244650.0, 16.252239
700.0, 244650.0, 16.248863
700.0, 244650.0, 27.090954
700.0, 244650.0, 32.144632
700.0, 244650.0, 16.479994
700.0, 244650.0, 11.652231
700.0, 244650.0, 29.435573
700.0, 244650.0, 320.091076
700.0, 244650.0, 18.714048
700.0, 244650.0, 20.714392
700.0, 244650.0, 18.330601
700.0, 244650.0, 18.169923
700.0, 244650.0, 3.647774
700.0, 244650.0, 9.670088
700.0, 244650.0, 12.407013
700.0, 244650.0, 18.685204
700.0, 244650.0, 2.003614
700.0, 244650.0, 7.368667
700.0, 244650.0, 15.298023
700.0, 244650.0, 6.823927
700.0, 244650.0, 18.404252
700.0, 244650.0, 14.229677
700.0, 244650.0, 14.367204
700.0, 244650.0, 4.455712
700.0, 244650.0, 17.245022
700.0, 244650.0, 3.322393
700.0, 244650.0, 7.155607
700.0, 244650.0, 15.756435
700.0, 244650.0, 11.075693
700.0, 244650.0, 9.856133
700.0, 244650.0, 9.65123
700.0, 244650.0, 6.616239
700.0, 244650.0, 19.351344
800.0, 319600.0, 3.537201
800.0, 319600.0, 26.279107
800.0, 319600.0, 16.03311
800.0, 319600.0, 15.968684
800.0, 319600.0, 11.415052
800.0, 319600.0, 30.430489
800.0, 319600.0, 6.778375
800.0, 319600.0, 9.316836
800.0, 319600.0, 21.940546
800.0, 319600.0, 33.531461
800.0, 319600.0, 33.997178
800.0, 319600.0, 15.137621
800.0, 319600.0, 16.982873
800.0, 319600.0, 7.147244
800.0, 319600.0, 16.333324
800.0, 319600.0, 12.524969
800.0, 319600.0, 11.291093
800.0, 319600.0, 26.007246
800.0, 319600.0, 31.757205
800.0, 319600.0, 6.629246
800.0, 319600.0, 26.47788
800.0, 319600.0, 21.373554
800.0, 319600.0, 16.975177
800.0, 319600.0, 17.867677
800.0, 319600.0, 9.643747
800.0, 319600.0, 17.121409
800.0, 319600.0, 25.994243
800.0, 319600.0, 17.721514
800.0, 319600.0, 4.107194
800.0, 319600.0, 8.938897
800.0, 319600.0, 14.6152
800.0, 319600.0, 28.74203
800.0, 319600.0, 19.050415
800.0, 319600.0, 28.754019
800.0, 319600.0, 23.919499
800.0, 319600.0, 18.683513
800.0, 319600.0, 21.161207
800.0, 319600.0, 32.064976
800.0, 319600.0, 13.423388
800.0, 319600.0, 13.965022
900.0, 404550.0, 44.367329
900.0, 404550.0, 1.799574
900.0, 404550.0, 40.373645
900.0, 404550.0, 33.582592
900.0, 404550.0, 5.104403
900.0, 404550.0, 31.087297
900.0, 404550.0, 0.751127
900.0, 404550.0, 43.917898
900.0, 404550.0, 29.599338
900.0, 404550.0, 9.819516
900.0, 404550.0, 33.783907
900.0, 404550.0, 5.05659
900.0, 404550.0, 8.290708
900.0, 404550.0, 41.391067
900.0, 404550.0, 1.781376
900.0, 404550.0, 8.261865
900.0, 404550.0, 37.054184
900.0, 404550.0, 13.77472
900.0, 404550.0, 8.236286
900.0, 404550.0, 43.428567
900.0, 404550.0, 41.354662
900.0, 404550.0, 31.482484
900.0, 404550.0, 35.470859
900.0, 404550.0, 8.412723
900.0, 404550.0, 39.117962
900.0, 404550.0, 29.155784
900.0, 404550.0, 31.560895
900.0, 404550.0, 34.619437
900.0, 404550.0, 38.079019
900.0, 404550.0, 40.636617
900.0, 404550.0, 35.019709
900.0, 404550.0, 31.527827
900.0, 404550.0, 225.09915
900.0, 404550.0, 1.042833
900.0, 404550.0, 17.569603
900.0, 404550.0, 36.559867
900.0, 404550.0, 14.789732
900.0, 404550.0, 13.219638
900.0, 404550.0, 12.964689
900.0, 404550.0, 30.030548
1000.0, 499500.0, 57.268184
1000.0, 499500.0, 31.570532
1000.0, 499500.0, 58.782751
1000.0, 499500.0, 7.87084
1000.0, 499500.0, 11.743206
1000.0, 499500.0, 56.508843
1000.0, 499500.0, 15.386684
1000.0, 499500.0, 15.131268
1000.0, 499500.0, 45.15853
1000.0, 499500.0, 18.142004
1000.0, 499500.0, 18.400961
1000.0, 499500.0, 194.466578
1000.0, 499500.0, 14.69987
1000.0, 499500.0, 33.026517
1000.0, 499500.0, 15.061464
1000.0, 499500.0, 30.507187
1000.0, 499500.0, 28.742904
1000.0, 499500.0, 65.100859
1000.0, 499500.0, 25.737162
1000.0, 499500.0, 27.358942
1000.0, 499500.0, 29.232316
1000.0, 499500.0, 68.456746
1000.0, 499500.0, 66.020544
1000.0, 499500.0, 69.177507
1000.0, 499500.0, 9.076392
1000.0, 499500.0, 5.909694
1000.0, 499500.0, 20.230152
1000.0, 499500.0, 7.862675
1000.0, 499500.0, 42.327218
1000.0, 499500.0, 16.897911
1000.0, 499500.0, 38.736711
1000.0, 499500.0, 4.408719
1000.0, 499500.0, 38.270681
1000.0, 499500.0, 21.359595
1000.0, 499500.0, 38.395537
1000.0, 499500.0, 17.266795
1000.0, 499500.0, 33.012229
1000.0, 499500.0, 11.032483
1000.0, 499500.0, 7.23461
1000.0, 499500.0, 17.608037
1100.0, 604450.0, 37.13436
1100.0, 604450.0, 92.955463
1100.0, 604450.0, 64.13837
1100.0, 604450.0, 31.827041
1100.0, 604450.0, 76.833029
1100.0, 604450.0, 84.024552
1100.0, 604450.0, 96.231807
1100.0, 604450.0, 7.790554
1100.0, 604450.0, 27.965732
1100.0, 604450.0, 68.841343
1100.0, 604450.0, 34.676542
1100.0, 604450.0, 19.7206
1100.0, 604450.0, 48.150631
1100.0, 604450.0, 50.432826
