V,E,T(n) fibo
100.0, 4950.0, 15.790889
100.0, 4950.0, 7.295259
100.0, 4950.0, 7.240853
100.0, 4950.0, 8.521099
100.0, 4950.0, 24.573811
100.0, 4950.0, 7.153647
100.0, 4950.0, 6.325106
100.0, 4950.0, 3.526937
100.0, 4950.0, 5.970497
100.0, 4950.0, 5.184441
100.0, 4950.0, 2.041241
100.0, 4950.0, 1.152607
100.0, 4950.0, 1.407706
100.0, 4950.0, 2.387895
100.0, 4950.0, 2.346941
100.0, 4950.0, 2.311975
100.0, 4950.0, 1.633599
100.0, 4950.0, 0.998419
100.0, 4950.0, 1.639698
100.0, 4950.0, 2.137496
100.0, 4950.0, 1.338815
100.0, 4950.0, 1.725255
100.0, 4950.0, 0.347284
100.0, 4950.0, 1.615017
100.0, 4950.0, 0.619036
100.0, 4950.0, 1.528032
100.0, 4950.0, 2.273671
100.0, 4950.0, 1.508718
100.0, 4950.0, 2.537289
100.0, 4950.0, 1.30776
100.0, 4950.0, 1.427328
100.0, 4950.0, 1.434722
100.0, 4950.0, 0.932333
100.0, 4950.0, 1.583804
100.0, 4950.0, 2.256139
100.0, 4950.0, 0.357033
100.0, 4950.0, 0.949507
100.0, 4950.0, 1.747383
100.0, 4950.0, 0.818023
100.0, 4950.0, 0.613587
200.0, 19900.0, 4.894193
200.0, 19900.0, 1.450824
200.0, 19900.0, 0.739628
200.0, 19900.0, 2.339
200.0, 19900.0, 2.395653
200.0, 19900.0, 2.322991
200.0, 19900.0, 4.898107
200.0, 19900.0, 5.877337
200.0, 19900.0, 3.546079
200.0, 19900.0, 0.799813
200.0, 19900.0, 2.936856
200.0, 19900.0, 2.299778
200.0, 19900.0, 5.314337
200.0, 19900.0, 1.903418
200.0, 19900.0, 3.303222
200.0, 19900.0, 5.295296
200.0, 19900.0, 4.45159
200.0, 19900.0, 6.316457
200.0, 19900.0, 6.887461
200.0, 19900.0, 2.565259
200.0, 19900.0, 3.735205
200.0, 19900.0, 2.608066
200.0, 19900.0, 0.577937
200.0, 19900.0, 0.618035
200.0, 19900.0, 0.13011
200.0, 19900.0, 1.506513
200.0, 19900.0, 1.921817
200.0, 19900.0, 4.488129
200.0, 19900.0, 1.23043
200.0, 19900.0, 3.622933
200.0, 19900.0, 2.276042
200.0, 19900.0, 243.627641
200.0, 19900.0, 2.968606
200.0, 19900.0, 2.938268
200.0, 19900.0, 2.745972
200.0, 19900.0, 2.393705
200.0, 19900.0, 2.639924
200.0, 19900.0, 1.286058
200.0, 19900.0, 2.266141
200.0, 19900.0, 1.43502
300.0, 44850.0, 3.140084
300.0, 44850.0, 5.552727
300.0, 44850.0, 3.725907
300.0, 44850.0, 0.59738
300.0, 44850.0, 5.182138
300.0, 44850.0, 0.725158
300.0, 44850.0, 2.128807
300.0, 44850.0, 0.476473
300.0, 44850.0, 2.466849
300.0, 44850.0, 4.83597
300.0, 44850.0, 2.359921
300.0, 44850.0, 1.503589
300.0, 44850.0, 4.870131
300.0, 44850.0, 2.015574
300.0, 44850.0, 2.368823
300.0, 44850.0, 1.069796
300.0, 44850.0, 3.652763
300.0, 44850.0, 1.358599
300.0, 44850.0, 0.78355
300.0, 44850.0, 3.678422
300.0, 44850.0, 3.17334
300.0, 44850.0, 1.177764
300.0, 44850.0, 0.454539
300.0, 44850.0, 0.499344
300.0, 44850.0, 1.346086
300.0, 44850.0, 2.492861
300.0, 44850.0, 4.92953
300.0, 44850.0, 2.614598
300.0, 44850.0, 1.420763
300.0, 44850.0, 0.263773
300.0, 44850.0, 3.768757
300.0, 44850.0, 4.95995
300.0, 44850.0, 5.851503
300.0, 44850.0, 1.438182
300.0, 44850.0, 5.021139
300.0, 44850.0, 5.153944
300.0, 44850.0, 0.604198
300.0, 44850.0, 0.245175
300.0, 44850.0, 4.69608
300.0, 44850.0, 4.466083
400.0, 79800.0, 16.260505
400.0, 79800.0, 12.967937
400.0, 79800.0, 5.812711
400.0, 79800.0, 6.615184
400.0, 79800.0, 9.72086
400.0, 79800.0, 14.827248
400.0, 79800.0, 14.990574
400.0, 79800.0, 13.613985
400.0, 79800.0, 12.672162
400.0, 79800.0, 16.943293
400.0, 79800.0, 7.986582
400.0, 79800.0, 15.429886
400.0, 79800.0, 8.035618
400.0, 79800.0, 14.61761
400.0, 79800.0, 1.189614
400.0, 79800.0, 14.407553
400.0, 79800.0, 12.529003
400.0, 79800.0, 1.987223
400.0, 79800.0, 3.420178
400.0, 79800.0, 9.560547
400.0, 79800.0, 14.265382
400.0, 79800.0, 2.607466
400.0, 79800.0, 10.561991
400.0, 79800.0, 3.548367
400.0, 79800.0, 13.164144
400.0, 79800.0, 12.117964
400.0, 79800.0, 12.810716
400.0, 79800.0, 9.481554
400.0, 79800.0, 10.511502
400.0, 79800.0, 0.330155
400.0, 79800.0, 16.118621
400.0, 79800.0, 16.580196
400.0, 79800.0, 11.702021
400.0, 79800.0, 10.854271
400.0, 79800.0, 1.968464
400.0, 79800.0, 2.280402
400.0, 79800.0, 9.874202
400.0, 79800.0, 6.740544
400.0, 79800.0, 5.543871
400.0, 79800.0, 6.431355
500.0, 124750.0, 3.62575
500.0, 124750.0, 14.884136
500.0, 124750.0, 21.792004
500.0, 124750.0, 4.229084
500.0, 124750.0, 351.488907
500.0, 124750.0, 3.41373
500.0, 124750.0, 7.411523
500.0, 124750.0, 0.395685
500.0, 124750.0, 10.595569
500.0, 124750.0, 4.584665
500.0, 124750.0, 9.611759
500.0, 124750.0, 8.995599
500.0, 124750.0, 7.453924
500.0, 124750.0, 10.28535
500.0, 124750.0, 5.124964
500.0, 124750.0, 6.270254
500.0, 124750.0, 8.360814
500.0, 124750.0, 0.410037
500.0, 124750.0, 7.269807
500.0, 124750.0, 7.268073
500.0, 124750.0, 1.185618
500.0, 124750.0, 6.261745
500.0, 124750.0, 2.36064
500.0, 124750.0, 10.47797
500.0, 124750.0, 3.346013
500.0, 124750.0, 12.148494
500.0, 124750.0, 5.380729
500.0, 124750.0, 6.836009
500.0, 124750.0, 12.930231
500.0, 124750.0, 2.235549
500.0, 124750.0, 13.433958
500.0, 124750.0, 8.221894
500.0, 124750.0, 17.635141
500.0, 124750.0, 12.359246
500.0, 124750.0, 1.589082
500.0, 124750.0, 12.951958
500.0, 124750.0, 12.680772
500.0, 124750.0, 7.081005
500.0, 124750.0, 10.695294
500.0, 124750.0, 9.347999
600.0, 179700.0, 23.830805
600.0, 179700.0, 5.944702
600.0, 179700.0, 22.181148
600.0, 179700.0, 26.729172
600.0, 179700.0, 14.040893
600.0, 179700.0, 28.565334
600.0, 179700.0, 17.67939
600.0, 179700.0, 21.12506
600.0, 179700.0, 10.258494
600.0, 179700.0, 24.60348
600.0, 179700.0, 18.117494
600.0, 179700.0, 6.903031
600.0, 179700.0, 27.108989
600.0, 179700.0, 30.807137
600.0, 179700.0, 5.89581
600.0, 179700.0, 18.424866
600.0, 179700.0, 24.62116
600.0, 179700.0, 23.744625
600.0, 179700.0, 26.783992
600.0, 179700.0, 24.87841
600.0, 179700.0, 24.349791
600.0, 179700.0, 5.476977
600.0, 179700.0, 11.670246
600.0, 179700.0, 33.182437
600.0, 179700.0, 26.75882
600.0, 179700.0, 32.246529
600.0, 179700.0, 1.586356
600.0, 179700.0, 32.57331
600.0, 179700.0, 20.466464
600.0, 179700.0, 6.318207
600.0, 179700.0, 32.201233
600.0, 179700.0, 21.635819
600.0, 179700.0, 23.440478
600.0, 179700.0, 11.85694
600.0, 179700.0, 29.190869
600.0, 179700.0, 10.086064
600.0, 179700.0, 1.934888
600.0, 179700.0, 337.153466
600.0, 179700.0, 21.274719
600.0, 179700.0, 2.734866
700.0, 244650.0, 48.414892
700.0, 244650.0, 45.967727
700.0, 244650.0, 46.023699
700.0, 244650.0, 44.266742
700.0, 244650.0, 9.906771
700.0, 244650.0, 33.779491
700.0, 244650.0, 14.992032
700.0, 244650.0, 23.62326
700.0, 244650.0, 29.378583
700.0, 244650.0, 22.716092
700.0, 244650.0, 10.607036
700.0, 244650.0, 42.476912
700.0, 244650.0, 47.69503
700.0, 244650.0, 15.33617
700.0, 244650.0, 27.548034
700.0, 244650.0, 27.18728
700.0, 244650.0, 18.83912
700.0, 244650.0, 36.441929
700.0, 244650.0, 19.905467
700.0, 244650.0, 36.822561
700.0, 244650.0, 277.119285
700.0, 244650.0, 15.283216
700.0, 244650.0, 6.312225
700.0, 244650.0, 13.075332
700.0, 244650.0, 16.576321
700.0, 244650.0, 12.655344
700.0, 244650.0, 5.404508
700.0, 244650.0, 7.92617
700.0, 244650.0, 11.555371
700.0, 244650.0, 11.570469
700.0, 244650.0, 17.918503
700.0, 244650.0, 16.351061
700.0, 244650.0, 8.373857
700.0, 244650.0, 3.54738
700.0, 244650.0, 14.962127
700.0, 244650.0, 15.565491
700.0, 244650.0, 16.885777
700.0, 244650.0, 5.030355
700.0, 244650.0, 16.704413
700.0, 244650.0, 17.782426
800.0, 319600.0, 12.793229
800.0, 319600.0, 28.432452
800.0, 319600.0, 17.56081
800.0, 319600.0, 36.403652
800.0, 319600.0, 44.669967
800.0, 319600.0, 23.572061
800.0, 319600.0, 30.857466
800.0, 319600.0, 18.419482
800.0, 319600.0, 13.567304
800.0, 319600.0, 22.170313
800.0, 319600.0, 10.852166
800.0, 319600.0, 16.944344
800.0, 319600.0, 29.221435
800.0, 319600.0, 9.46347
800.0, 319600.0, 21.612199
800.0, 319600.0, 36.388546
800.0, 319600.0, 10.45561
800.0, 319600.0, 29.186459
800.0, 319600.0, 34.580646
800.0, 319600.0, 21.597532
